date,total,subscriber,customer
2013-08-29,748,461,287
2013-08-30,714,308,406
2013-08-31,640,160,480
2013-09-01,706,122,584
2013-09-02,661,162,499
2013-09-03,597,312,285
2013-09-04,606,370,236
2013-09-05,677,399,278
2013-09-06,814,461,353
2013-09-07,796,242,554
2013-09-08,704,199,505
2013-09-09,769,502,267
2013-09-10,892,628,264
2013-09-11,880,623,257
2013-09-12,942,677,265
2013-09-13,981,676,305
2013-09-14,702,261,441
2013-09-15,624,236,388
2013-09-16,914,676,238
2013-09-17,1073,779,294
2013-09-18,1110,841,269
2013-09-19,1044,793,251
2013-09-20,1102,791,311
2013-09-21,388,203,185
2013-09-22,584,224,360
2013-09-23,1050,812,238
2013-09-24,1075,836,239
2013-09-25,1264,891,373
2013-09-26,1082,849,233
2013-09-27,1101,840,261
2013-09-28,612,263,349
2013-09-29,517,250,267
2013-09-30,976,849,127
2013-10-01,1072,909,163
2013-10-02,1061,877,184
2013-10-03,1158,885,273
2013-10-04,1088,844,244
2013-10-05,716,311,405
2013-10-06,606,251,355
2013-10-07,964,818,146
2013-10-08,1018,881,137
2013-10-09,1069,919,150
2013-10-10,1086,895,191
2013-10-11,1014,833,181
2013-10-12,665,319,346
2013-10-13,572,263,309
2013-10-14,1050,830,220
2013-10-15,1173,941,232
2013-10-16,1165,979,186
2013-10-17,1227,1001,226
2013-10-18,1103,852,251
2013-10-19,635,285,350
2013-10-20,452,213,239
2013-10-21,1015,869,146
2013-10-22,1026,917,109
2013-10-23,1029,934,95
2013-10-24,1053,945,108
2013-10-25,1048,917,131
2013-10-26,501,271,230
2013-10-27,292,188,104
2013-10-28,967,898,69
2013-10-29,1008,924,84
2013-10-30,1122,1017,105
2013-10-31,1150,993,157
2013-11-01,1120,953,167
2013-11-02,544,265,279
2013-11-03,372,210,162
2013-11-04,1128,1014,114
2013-11-05,1158,1008,150
2013-11-06,1085,952,133
2013-11-07,1197,1036,161
2013-11-08,1172,960,212
2013-11-09,634,309,325
2013-11-10,482,227,255
2013-11-11,986,845,141
2013-11-12,1154,1042,112
2013-11-13,1002,936,66
2013-11-14,1115,1036,79
2013-11-15,1131,958,173
2013-11-16,474,277,197
2013-11-17,406,229,177
2013-11-18,1008,930,78
2013-11-19,750,693,57
2013-11-20,625,591,34
2013-11-21,1102,1003,99
2013-11-22,995,882,113
2013-11-23,525,243,282
2013-11-24,348,189,159
2013-11-25,1019,922,97
2013-11-26,1004,901,103
2013-11-27,720,654,66
2013-11-28,272,108,164
2013-11-29,384,192,192
2013-11-30,307,165,142
2013-12-01,329,212,117
2013-12-02,878,853,25
2013-12-03,917,887,30
2013-12-04,992,941,51
2013-12-05,936,861,75
2013-12-06,727,658,69
2013-12-07,277,192,85
2013-12-08,274,201,73
2013-12-09,807,779,28
2013-12-10,878,816,62
2013-12-11,903,833,70
2013-12-12,966,881,85
2013-12-13,962,825,137
2013-12-14,392,265,127
2013-12-15,319,204,115
2013-12-16,946,840,106
2013-12-17,975,902,73
2013-12-18,928,871,57
2013-12-19,935,835,100
2013-12-20,867,759,108
2013-12-21,354,234,120
2013-12-22,307,164,143
2013-12-23,651,541,110
2013-12-24,336,235,101
2013-12-25,360,84,276
2013-12-26,422,320,102
2013-12-27,425,316,109
2013-12-28,403,179,224
2013-12-29,318,144,174
2013-12-30,605,479,126
2013-12-31,505,348,157
2014-01-01,359,124,235
2014-01-02,767,638,129
2014-01-03,779,651,128
2014-01-04,356,226,130
2014-01-05,296,191,105
2014-01-06,915,840,75
2014-01-07,967,914,53
2014-01-08,967,891,76
2014-01-09,980,868,112
